seed,rnn_success,transformer_success,gmm_success,rnn_length,transformer_length,gmm_length,rnn_return,transformer_return,gmm_return,pattern
10000,1,0,0,577,700,700,1.0,0.0,0.0,100
10001,1,0,0,423,700,700,1.0,0.0,0.0,100
10002,1,1,1,451,485,436,1.0,1.0,1.0,111
10003,0,0,0,700,700,700,0.0,0.0,0.0,000
10004,1,0,0,467,700,700,1.0,0.0,0.0,100
10005,1,1,0,451,579,700,1.0,1.0,0.0,110
10006,1,0,0,540,700,700,1.0,0.0,0.0,100
10007,0,0,0,700,700,700,0.0,0.0,0.0,000
10008,1,1,0,448,585,700,1.0,1.0,0.0,110
10009,1,0,0,522,700,700,1.0,0.0,0.0,100
10010,1,0,0,628,700,700,1.0,0.0,0.0,100
10011,1,1,1,531,443,547,1.0,1.0,1.0,111
10012,1,0,0,426,700,700,1.0,0.0,0.0,100
10013,1,1,0,565,436,700,1.0,1.0,0.0,110
10014,1,0,1,431,700,583,1.0,0.0,1.0,101
10015,1,1,0,487,510,700,1.0,1.0,0.0,110
10016,1,0,0,442,700,700,1.0,0.0,0.0,100
10017,0,0,0,700,700,700,0.0,0.0,0.0,000
10018,0,0,0,700,700,700,0.0,0.0,0.0,000
10019,1,0,0,430,700,700,1.0,0.0,0.0,100
10020,1,0,0,439,700,700,1.0,0.0,0.0,100
10021,1,0,0,458,700,700,1.0,0.0,0.0,100
10022,0,0,0,700,700,700,0.0,0.0,0.0,000
10023,1,0,0,413,700,700,1.0,0.0,0.0,100
10024,0,1,0,700,442,700,0.0,1.0,0.0,010
10025,0,0,0,700,700,700,0.0,0.0,0.0,000
10026,0,0,0,700,700,700,0.0,0.0,0.0,000
10027,1,1,0,407,412,700,1.0,1.0,0.0,110
10028,0,0,0,700,700,700,0.0,0.0,0.0,000
10029,1,1,0,508,441,700,1.0,1.0,0.0,110
10030,1,1,0,477,417,700,1.0,1.0,0.0,110
10031,0,0,0,700,700,700,0.0,0.0,0.0,000
10032,1,1,0,422,402,700,1.0,1.0,0.0,110
10033,1,1,0,637,550,700,1.0,1.0,0.0,110
10034,1,0,0,430,700,700,1.0,0.0,0.0,100
10035,1,0,0,452,700,700,1.0,0.0,0.0,100
10036,1,0,0,442,700,700,1.0,0.0,0.0,100
10037,0,0,0,700,700,700,0.0,0.0,0.0,000
10038,1,1,0,463,438,700,1.0,1.0,0.0,110
10039,1,0,0,519,700,700,1.0,0.0,0.0,100
10040,1,0,0,563,700,700,1.0,0.0,0.0,100
10041,1,1,1,442,444,491,1.0,1.0,1.0,111
10042,1,0,1,541,700,563,1.0,0.0,1.0,101
10043,1,1,0,516,532,700,1.0,1.0,0.0,110
10044,1,0,0,442,700,700,1.0,0.0,0.0,100
10045,0,0,1,700,700,474,0.0,0.0,1.0,001
10046,1,1,0,472,500,700,1.0,1.0,0.0,110
10047,1,1,0,407,478,700,1.0,1.0,0.0,110
10048,1,1,0,474,461,700,1.0,1.0,0.0,110
10049,1,0,0,398,700,700,1.0,0.0,0.0,100
10050,1,0,0,476,700,700,1.0,0.0,0.0,100
10051,0,0,0,700,700,700,0.0,0.0,0.0,000
10052,1,1,0,473,425,700,1.0,1.0,0.0,110
10053,1,0,0,484,700,700,1.0,0.0,0.0,100
10054,1,0,0,537,700,700,1.0,0.0,0.0,100
10055,1,1,0,457,490,700,1.0,1.0,0.0,110
10056,0,0,0,700,700,700,0.0,0.0,0.0,000
10057,0,1,0,700,430,700,0.0,1.0,0.0,010
10058,1,0,0,440,700,700,1.0,0.0,0.0,100
10059,0,1,0,700,397,700,0.0,1.0,0.0,010
10060,1,0,0,469,700,700,1.0,0.0,0.0,100
10061,1,0,0,540,700,700,1.0,0.0,0.0,100
10062,0,0,0,700,700,700,0.0,0.0,0.0,000
10063,1,0,0,403,700,700,1.0,0.0,0.0,100
10064,1,1,0,465,436,700,1.0,1.0,0.0,110
10065,1,0,0,512,700,700,1.0,0.0,0.0,100
10066,1,1,0,419,468,700,1.0,1.0,0.0,110
10067,1,1,0,437,443,700,1.0,1.0,0.0,110
10068,1,1,0,514,447,700,1.0,1.0,0.0,110
10069,1,0,0,545,700,700,1.0,0.0,0.0,100
10070,1,1,0,461,449,700,1.0,1.0,0.0,110
10071,1,0,0,438,700,700,1.0,0.0,0.0,100
10072,1,1,0,461,468,700,1.0,1.0,0.0,110
10073,1,1,0,490,547,700,1.0,1.0,0.0,110
10074,1,0,1,492,700,661,1.0,0.0,1.0,101
10075,1,1,0,408,402,700,1.0,1.0,0.0,110
10076,1,0,0,411,700,700,1.0,0.0,0.0,100
10077,1,1,1,437,441,452,1.0,1.0,1.0,111
10078,1,0,0,545,700,700,1.0,0.0,0.0,100
10079,1,0,0,406,700,700,1.0,0.0,0.0,100
10080,1,0,0,438,700,700,1.0,0.0,0.0,100
10081,0,0,0,700,700,700,0.0,0.0,0.0,000
10082,1,1,0,410,438,700,1.0,1.0,0.0,110
10083,1,1,0,459,446,700,1.0,1.0,0.0,110
10084,1,1,1,413,497,491,1.0,1.0,1.0,111
10085,1,1,0,493,482,700,1.0,1.0,0.0,110
10086,0,0,0,700,700,700,0.0,0.0,0.0,000
10087,1,1,0,432,449,700,1.0,1.0,0.0,110
10088,1,1,0,443,464,700,1.0,1.0,0.0,110
10089,1,0,0,495,700,700,1.0,0.0,0.0,100
